last_name, first_name,player_id,year,pa,bip,ba,est_ba,est_ba_minus_ba_diff,slg,est_slg,est_slg_minus_slg_diff,woba,est_woba,est_woba_minus_woba_diff
Escobar, Eduardo,500871,2021,283,203,.240,.235,0.005,.452,.441,0.011,.319,.309,0.010
Holt, Brock,571788,2021,114,76,.232,.247,-0.015,.333,.335,-0.002,.302,.309,-0.007
Rosario, Eddie,592696,2021,253,199,.249,.247,0.002,.369,.403,-0.034,.290,.308,-0.018
Rendon, Anthony,543685,2021,191,143,.241,.246,-0.005,.365,.388,-0.023,.298,.308,-0.010
Cabrera, Miguel,408234,2021,203,137,.216,.233,-0.017,.319,.406,-0.087,.268,.307,-0.039
Polanco, Gregory,570256,2021,209,127,.204,.224,-0.020,.344,.407,-0.063,.265,.307,-0.042
Beaty, Matt,607461,2021,123,85,.278,.245,0.033,.389,.334,0.055,.338,.306,0.032
Heredia, Guillermo,628338,2021,132,81,.265,.242,0.023,.427,.371,0.056,.335,.306,0.029
Dickerson, Corey,572816,2021,224,160,.260,.252,0.008,.377,.381,-0.004,.308,.306,0.002
Caratini, Victor,605170,2021,164,98,.210,.220,-0.010,.336,.378,-0.042,.286,.306,-0.020
Odor, Rougned,596059,2021,143,92,.192,.225,-0.033,.377,.408,-0.031,.282,.306,-0.024
Kiner-Falefa, Isiah,643396,2021,292,228,.289,.278,0.011,.407,.379,0.028,.318,.305,0.013
Chapman, Matt,656305,2021,278,153,.224,.206,0.018,.375,.371,0.004,.310,.305,0.005
McCann, James,543510,2021,183,115,.240,.234,0.006,.377,.390,-0.013,.302,.304,-0.002
Robles, Victor,645302,2021,187,118,.228,.226,0.002,.316,.341,-0.025,.298,.304,-0.006
Naylor, Josh,647304,2021,224,165,.245,.247,-0.002,.380,.401,-0.021,.293,.303,-0.010
Flores, Wilmer,527038,2021,170,129,.235,.236,-0.001,.362,.366,-0.004,.302,.303,-0.001
Sosa, Edmundo,624641,2021,117,81,.265,.231,0.034,.343,.343,0.000,.317,.302,0.015
Duvall, Adam,594807,2021,226,140,.205,.211,-0.006,.414,.460,-0.046,.285,.302,-0.017
Farmer, Kyle,571657,2021,197,146,.212,.246,-0.034,.318,.384,-0.066,.265,.301,-0.036
Daza, Yonathan,602074,2021,187,140,.324,.269,0.055,.400,.351,0.049,.337,.300,0.037
Arozarena, Randy,668227,2021,282,172,.263,.224,0.039,.426,.375,0.051,.335,.300,0.035
Zimmerman, Ryan,475582,2021,123,84,.271,.233,0.038,.534,.443,0.091,.354,.299,0.055
Panik, Joe,605412,2021,107,89,.267,.267,0.000,.386,.387,-0.001,.298,.299,-0.001
Vogt, Stephen,519390,2021,111,71,.212,.213,-0.001,.414,.383,0.031,.310,.299,0.011
Dahl, David,621311,2021,154,106,.208,.242,-0.034,.340,.421,-0.081,.252,.299,-0.047
Iglesias, José,578428,2021,217,173,.274,.270,0.004,.389,.378,0.011,.303,.298,0.005
Biggio, Cavan,624415,2021,171,96,.229,.209,0.020,.403,.357,0.046,.321,.298,0.023
Alberto, Hanser,593643,2021,117,102,.268,.280,-0.012,.393,.391,0.002,.287,.297,-0.010
Tapia, Raimel,606132,2021,273,219,.299,.274,0.025,.421,.360,0.061,.329,.296,0.033
Arroyo, Christian,624414,2021,130,83,.265,.230,0.035,.444,.385,0.059,.334,.296,0.038
Peralta, David,444482,2021,249,187,.258,.247,0.011,.419,.369,0.050,.317,.296,0.021
Pillar, Kevin,607680,2021,135,99,.250,.234,0.016,.430,.415,0.015,.310,.296,0.014
Hampson, Garrett,641658,2021,237,163,.241,.232,0.009,.417,.404,0.013,.304,.296,0.008
Castro, Starlin,516770,2021,254,186,.239,.243,-0.004,.312,.379,-0.067,.266,.296,-0.030
Herrera, Odúbel,546318,2021,181,133,.276,.245,0.031,.429,.351,0.078,.333,.295,0.038
Gonzalez, Marwin,503556,2021,207,136,.196,.231,-0.035,.299,.352,-0.053,.260,.295,-0.035
Wendle, Joey,621563,2021,222,157,.286,.238,0.048,.488,.372,0.116,.356,.294,0.062
Báez, Javier,595879,2021,235,132,.232,.214,0.018,.468,.430,0.038,.311,.294,0.017
Andrus, Elvis,462101,2021,235,180,.221,.259,-0.038,.290,.365,-0.075,.247,.294,-0.047
Moore, Dylan,664238,2021,156,87,.176,.202,-0.026,.382,.362,0.020,.288,.294,-0.006
Barnhart, Tucker,571466,2021,178,106,.256,.214,0.042,.404,.352,0.052,.329,.293,0.036
Eaton, Adam,594809,2021,203,127,.195,.216,-0.021,.345,.331,0.014,.288,.293,-0.005
Dozier, Hunter,641531,2021,195,121,.152,.208,-0.056,.337,.399,-0.062,.247,.293,-0.046
Mountcastle, Ryan,663624,2021,242,156,.253,.229,0.024,.432,.413,0.019,.305,.292,0.013
Anderson, Brian,605119,2021,136,88,.250,.218,0.032,.371,.385,-0.014,.301,.292,0.009
Straw, Myles,664702,2021,244,170,.257,.252,0.005,.322,.316,0.006,.293,.291,0.002
Astudillo, Willians,553902,2021,123,110,.254,.261,-0.007,.390,.391,-0.001,.288,.291,-0.003
Sanó, Miguel,593934,2021,207,104,.179,.186,-0.007,.418,.389,0.029,.296,.291,0.005
Murphy, Tom,608596,2021,146,78,.178,.189,-0.011,.364,.396,-0.032,.264,.291,-0.027
Myers, Wil,571976,2021,208,133,.243,.214,0.029,.378,.359,0.019,.308,.290,0.018
Stevenson, Andrew,664057,2021,108,68,.227,.246,-0.019,.309,.363,-0.054,.265,.290,-0.025
Profar, Jurickson,595777,2021,233,161,.218,.228,-0.010,.279,.293,-0.014,.277,.290,-0.013
Goodrum, Niko,592348,2021,215,113,.211,.197,0.014,.321,.347,-0.026,.276,.290,-0.014
Mejía, Francisco,642336,2021,125,92,.241,.232,0.009,.375,.350,0.025,.301,.289,0.012
Ramos, Wilson,467092,2021,128,91,.200,.233,-0.033,.392,.409,-0.017,.267,.289,-0.022
Valaika, Pat,642162,2021,109,71,.192,.217,-0.025,.263,.374,-0.111,.231,.289,-0.058
Díaz, Isan,656371,2021,127,69,.146,.202,-0.056,.223,.309,-0.086,.232,.289,-0.057
Díaz, Elias,553869,2021,120,84,.165,.230,-0.065,.257,.353,-0.096,.222,.288,-0.066
Madrigal, Nick,663611,2021,215,184,.305,.261,0.044,.425,.327,0.098,.337,.287,0.050
Galvis, Freddy,520471,2021,241,170,.253,.221,0.032,.438,.374,0.064,.324,.287,0.037
