last_name, first_name,player_id,year,pa,bip,ba,est_ba,est_ba_minus_ba_diff,slg,est_slg,est_slg_minus_slg_diff,woba,est_woba,est_woba_minus_woba_diff
Judge, Aaron,592450,2017,678,338,.284,.281,0.003,.627,.651,-0.024,.430,.441,-0.011
Martinez, J.D.,502110,2017,489,308,.303,.294,0.009,.690,.680,0.010,.430,.423,0.007
Trout, Mike,545361,2017,507,316,.306,.286,0.020,.629,.574,0.055,.437,.417,0.020
Votto, Joey,458015,2017,707,482,.320,.294,0.026,.578,.550,0.028,.428,.413,0.015
Martínez, José,500874,2017,307,215,.309,.322,-0.013,.518,.589,-0.071,.379,.411,-0.032
Cruz, Nelson,443558,2017,645,423,.288,.281,0.007,.549,.589,-0.040,.385,.397,-0.012
Stanton, Giancarlo,519317,2017,692,437,.281,.272,0.009,.631,.593,0.038,.410,.396,0.014
Freeman, Freddie,518692,2017,514,347,.307,.280,0.027,.586,.578,0.008,.407,.394,0.013
Goldschmidt, Paul,502671,2017,665,415,.297,.280,0.017,.563,.559,0.004,.400,.393,0.007
Turner, Justin,457759,2017,543,409,.322,.291,0.031,.530,.537,-0.007,.400,.391,0.009
Rizzo, Anthony,519203,2017,691,486,.273,.280,-0.007,.507,.515,-0.008,.380,.390,-0.010
Avila, Alex,488671,2017,376,193,.264,.263,0.001,.447,.521,-0.074,.362,.387,-0.025
Donaldson, Josh,518626,2017,496,306,.270,.253,0.017,.559,.540,0.019,.396,.386,0.010
Encarnación, Edwin,429665,2017,669,426,.258,.263,-0.005,.504,.526,-0.022,.372,.386,-0.014
Smoak, Justin,475253,2017,637,434,.270,.275,-0.005,.529,.558,-0.029,.371,.385,-0.014
Correa, Carlos,621043,2017,481,334,.315,.302,0.013,.550,.529,0.021,.394,.384,0.010
Davis, Khris,501981,2017,652,378,.247,.255,-0.008,.528,.567,-0.039,.361,.382,-0.021
Seager, Corey,608369,2017,613,411,.295,.297,-0.002,.479,.519,-0.040,.364,.381,-0.017
Harper, Bryce,547180,2017,492,324,.319,.281,0.038,.595,.525,0.070,.416,.378,0.038
