last_name, first_name,player_id,team_id,team,position,age,competitive_runs,hp_to_1b,sprint_speed
Valbuena, Luis,472528,117,HOU,3B,31,84,4.62,25.6
Cervelli, Francisco,465041,134,PIT,C,30,147,4.58,25.6
Saltalamacchia, Jarrod,457454,116,DET,C,31,58,4.76,25.6
Abreu, José,547989,145,CWS,1B,29,266,4.64,25.6
Suzuki, Kurt,435559,142,MIN,C,33,130,4.75,25.6
Lucroy, Jonathan,518960,140,TEX,C,30,181,4.63,25.5
Escobar, Yunel,488862,108,LAA,3B,34,268,4.60,25.5
Cabrera, Melky,466320,145,CWS,LF,32,249,4.50,25.5
Ross, David,424325,112,CHC,C,39,57,4.66,25.5
Flores, Wilmer,527038,121,NYM,3B,25,103,4.59,25.5
Adams, Matt,571431,138,STL,1B,28,80,4.60,25.5
Uribe, Juan,346874,114,CLE,3B,37,87,4.65,25.5
Cabrera, Asdrúbal,452678,121,NYM,SS,31,166,4.68,25.5
Tulowitzki, Troy,453064,141,TOR,SS,32,181,4.61,25.5
Mathis, Jeff,425772,146,MIA,C,33,40,4.67,25.5
Butera, Drew,460077,118,KC,C,33,46,4.64,25.5
Seager, Kyle,572122,136,SEA,3B,29,195,4.58,25.5
Gillaspie, Conor,543216,137,SF,3B,29,79,4.56,25.5
Nicholas, Brett,592592,140,TEX,C,28,17,,25.4
Ethier, Andre,444843,119,LAD,,34,11,,25.4
Judge, Aaron,592450,147,NYY,RF,24,18,,25.4
Stewart, Chris,455755,134,PIT,C,34,44,4.69,25.4
Jaso, John,444379,134,PIT,1B,33,158,4.63,25.4
Gennett, Scooter,571697,158,MIL,2B,26,191,4.51,25.4
Decker, Jaff,543094,139,TB,RF,26,16,4.36,25.4
Markakis, Nick,455976,144,ATL,RF,33,240,4.54,25.4
Cabrera, Ramón,541608,113,CIN,C,27,69,4.57,25.4
Rupp, Cameron,519237,143,PHI,C,28,143,4.75,25.4
Flowers, Tyler,452095,144,ATL,C,30,89,4.60,25.3
Lowrie, Jed,476704,133,OAK,2B,32,122,4.65,25.3
Sands, Jerry,543742,145,CWS,DH,29,19,4.76,25.3
Martin, Russell,431145,141,TOR,C,33,166,4.74,25.3
Maldonado, Martín,455117,158,MIL,C,30,77,4.76,25.3
Bautista, José,430832,141,TOR,RF,36,153,4.79,25.3
Kemp, Matt,461314,144,ATL,RF,32,209,4.77,25.3
Choo, Shin-Soo,425783,140,TEX,RF,34,55,4.49,25.2
Joseph, Tommy,571830,143,PHI,1B,25,105,4.85,25.2
Kratz, Erik,456124,134,PIT,C,36,19,4.69,25.2
Brantley, Michael,488726,114,CLE,LF,29,16,,25.2
Piña, Manny,444489,158,MIL,C,29,25,4.74,25.2
Gyorko, Jedd,576397,138,STL,2B,28,134,4.59,25.2
Gutierrez, Franklin,429711,136,SEA,RF,33,62,4.80,25.2
Wright, David,431151,121,NYM,3B,34,27,,25.2
Gosewisch, Tuffy,488912,109,ARI,C,33,29,4.72,25.2
Morneau, Justin,408047,145,CWS,DH,35,85,4.54,25.2
Encarnación, Edwin,429665,141,TOR,DH,33,209,4.69,25.2
Álvarez, Pedro,476883,110,BAL,DH,29,115,4.58,25.2
Duda, Lucas,446263,121,NYM,1B,30,57,4.75,25.2
Tejada, Rubén,514913,137,SF,3B,27,28,4.80,25.1
Posey, Buster,457763,137,SF,C,29,238,4.62,25.1
Barnhart, Tucker,571466,113,CIN,C,25,158,4.69,25.1
Wieters, Matt,446308,110,BAL,C,30,138,4.69,25.1
Vargas, Kennys,573627,142,MIN,1B,26,45,,25.1
León, Sandy,506702,111,BOS,C,27,106,4.61,25.0
Colabello, Chris,499624,141,TOR,1B,33,11,,25.0
Iannetta, Chris,455104,136,SEA,C,33,89,4.80,25.0
Reynolds, Mark,448602,115,COL,1B,33,145,4.71,25.0
Pérez, Roberto,547379,114,CLE,C,28,83,4.84,24.9
Gimenez, Chris,460269,114,CLE,C,34,52,4.73,24.9
Wallace, Brett,477165,135,SD,3B,30,69,4.76,24.9
Votto, Joey,458015,113,CIN,1B,33,202,4.70,24.9
Solarte, Yangervis,500208,135,SD,3B,29,161,4.81,24.8
Castillo, Welington,456078,109,ARI,C,29,161,4.73,24.9
Reed, AJ,607223,117,HOU,1B,23,34,4.70,24.8
Napoli, Mike,435063,114,CLE,1B,35,169,4.82,24.8
Rivera, René,425784,121,NYM,C,33,61,4.86,24.7
Canó, Robinson,429664,136,SEA,2B,34,239,4.61,24.7
Loney, James,425766,121,NYM,1B,32,134,4.82,24.6
Lind, Adam,452252,136,SEA,1B,33,141,4.77,24.6
Ellis, A.J.,454560,143,PHI,C,35,58,4.86,24.5
Alonso, Yonder,475174,133,OAK,1B,29,196,4.81,24.5
Teixeira, Mark,407893,147,NYY,1B,36,141,4.73,24.5
Sucre, Jesús,491696,136,SEA,C,28,12,,24.5
Casali, Curt,592200,139,TB,C,28,60,4.86,24.5
Pierzynski, A.J.,150229,144,ATL,C,40,126,4.65,24.4
Moustakas, Mike,519058,118,KC,3B,28,35,,24.4
Cabrera, Miguel,408234,116,DET,1B,33,196,4.86,24.3
Fielder, Prince,425902,140,TEX,DH,32,122,4.87,24.2
Grandal, Yasmani,518735,119,LAD,C,28,138,4.89,24.2
Maxwell, Bruce,622194,133,OAK,C,26,40,4.90,24.2
Morales, Kendrys,434778,118,KC,DH,33,190,4.83,24.2
Clevenger, Steve,502182,136,SEA,C,30,27,4.93,24.1
Bour, Justin,571506,146,MIA,1B,28,109,4.64,24.1
Avila, Alex,488671,145,CWS,C,29,60,4.80,24.1
Smoak, Justin,475253,141,TOR,1B,30,67,4.94,24.1
Lobaton, Jose,446653,120,WSH,C,32,40,,24.1
Narváez, Omar,553882,145,CWS,C,24,50,4.69,24.0
González, Adrián,408236,119,LAD,1B,34,225,4.81,24.0
Ramos, Wilson,467092,120,WSH,C,29,209,4.86,24.0
Rodriguez, Alex,121347,147,NYY,DH,41,71,4.79,23.9
Wilson, Bobby,435064,139,TB,C,33,78,4.83,23.9
Conger, Hank,474233,139,TB,C,28,38,4.89,23.8
Bandy, Jett,542908,108,LAA,C,26,60,5.04,23.7
Molina, Yadier,425877,138,STL,C,34,235,4.81,23.6
Butler, Billy,456714,147,NYY,DH,30,94,4.96,23.5
Ortiz, David,120074,111,BOS,DH,41,147,4.75,23.5
Montero, Miguel,471083,112,CHC,C,33,101,4.88,23.4
Howard, Ryan,429667,143,PHI,1B,37,67,4.89,23.2
Thole, Josh,489365,141,TOR,C,30,41,4.95,23.2
Navarro, Dioner,425900,141,TOR,C,32,92,4.96,23.1
Lee, Dae-Ho,493193,136,SEA,1B,34,112,5.10,23.1
McCann, Brian,435263,147,NYY,C,32,113,5.04,23.0
Sánchez, Héctor,516949,135,SD,C,27,10,,22.8
Pujols, Albert,405395,108,LAA,DH,36,219,5.02,22.6
Martinez, Victor,400121,116,DET,DH,38,163,4.76,22.5
