last_name, first_name,player_id,year,pa,bip,ba,est_ba,est_ba_minus_ba_diff,slg,est_slg,est_slg_minus_slg_diff,woba,est_woba,est_woba_minus_woba_diff
Carpenter, Matt,572761,2019,492,293,.226,.213,0.013,.392,.397,-0.005,.315,.317,-0.002
Cabrera, Asdrúbal,452678,2019,514,351,.260,.236,0.024,.441,.405,0.036,.331,.316,0.015
Pérez, Roberto,547379,2019,449,273,.239,.218,0.021,.452,.438,0.014,.326,.316,0.010
Santander, Anthony,623993,2019,405,298,.261,.256,0.005,.476,.456,0.020,.321,.315,0.006
Jones, Adam,430945,2019,528,387,.260,.255,0.005,.414,.429,-0.015,.308,.315,-0.007
Odor, Rougned,596059,2019,581,346,.205,.216,-0.011,.439,.455,-0.016,.302,.315,-0.013
Ramos, Wilson,467092,2019,524,407,.288,.260,0.028,.416,.396,0.020,.327,.314,0.013
Kingery, Scott,664068,2019,500,314,.258,.244,0.014,.474,.432,0.042,.329,.314,0.015
Myers, Wil,571976,2019,490,269,.239,.226,0.013,.418,.424,-0.006,.316,.314,0.002
Gurriel, Yuli,493329,2019,612,505,.298,.273,0.025,.541,.404,0.137,.364,.313,0.051
Rosario, Amed,642708,2019,655,497,.287,.279,0.008,.432,.411,0.021,.318,.313,0.005
Molina, Yadier,425877,2019,452,366,.270,.262,0.008,.399,.422,-0.023,.303,.313,-0.010
Piscotty, Stephen,572039,2019,393,277,.249,.242,0.007,.412,.422,-0.010,.306,.313,-0.007
Pujols, Albert,405395,2019,545,431,.244,.245,-0.001,.430,.420,0.010,.308,.313,-0.005
Fletcher, David,664058,2019,653,534,.290,.283,0.007,.384,.361,0.023,.318,.312,0.006
Frazier, Adam,624428,2019,608,484,.278,.268,0.010,.417,.394,0.023,.320,.312,0.008
Castro, Starlin,516770,2019,676,534,.270,.266,0.004,.436,.433,0.003,.307,.312,-0.005
Kipnis, Jason,543401,2019,511,381,.245,.252,-0.007,.410,.413,-0.003,.301,.312,-0.011
Bradley Jr., Jackie,598265,2019,567,344,.225,.222,0.003,.421,.408,0.013,.314,.312,0.002
Davis, Khris,501981,2019,533,337,.220,.227,-0.007,.387,.428,-0.041,.289,.312,-0.023
Renfroe, Hunter,592669,2019,494,292,.216,.219,-0.003,.489,.455,0.034,.320,.312,0.008
Hernández, Teoscar,606192,2019,464,265,.230,.213,0.017,.472,.445,0.027,.325,.311,0.014
Jansen, Danny,643376,2019,384,270,.207,.242,-0.035,.360,.414,-0.054,.275,.311,-0.036
Moran, Colin,592567,2019,503,353,.277,.256,0.021,.429,.430,-0.001,.315,.310,0.005
Villar, Jonathan,542340,2019,714,472,.274,.241,0.033,.453,.405,0.048,.335,.310,0.025
Schoop, Jonathan,570731,2019,464,318,.256,.247,0.009,.473,.434,0.039,.324,.310,0.014
Frazier, Todd,453943,2019,499,341,.251,.232,0.019,.443,.404,0.039,.328,.310,0.018
Reddick, Josh,502210,2019,550,445,.275,.266,0.009,.409,.386,0.023,.306,.308,-0.002
Posey, Buster,457763,2019,445,336,.257,.246,0.011,.368,.406,-0.038,.298,.308,-0.010
Sogard, Eric,519299,2019,442,339,.290,.265,0.025,.457,.373,0.084,.342,.307,0.035
Vázquez, Christian,543877,2019,521,387,.276,.244,0.032,.477,.432,0.045,.331,.306,0.025
Drury, Brandon,592273,2019,447,308,.218,.245,-0.027,.380,.421,-0.041,.271,.306,-0.035
Hosmer, Eric,543333,2019,667,461,.265,.251,0.014,.425,.413,0.012,.309,.305,0.004
Segura, Jean,516416,2019,618,507,.280,.262,0.018,.420,.393,0.027,.315,.304,0.011
Andrus, Elvis,462101,2019,648,514,.275,.264,0.011,.393,.388,0.005,.300,.303,-0.003
Crawford, Brandon,543063,2019,560,387,.228,.235,-0.007,.350,.391,-0.041,.281,.303,-0.022
Ramirez, Harold,623912,2019,446,331,.276,.263,0.013,.416,.402,0.014,.308,.302,0.006
Mercado, Oscar,640458,2019,482,365,.269,.252,0.017,.443,.391,0.052,.321,.302,0.019
Panik, Joe,605412,2019,491,397,.244,.248,-0.004,.336,.369,-0.033,.284,.302,-0.018
Hernández, Enrique,571771,2019,460,321,.237,.236,0.001,.411,.395,0.016,.301,.302,-0.001
Rojas, Miguel,500743,2019,526,427,.284,.268,0.016,.379,.367,0.012,.305,.301,0.004
Peralta, David,444482,2019,423,296,.275,.244,0.031,.461,.377,0.084,.338,.301,0.037
Goodrum, Niko,592348,2019,472,287,.248,.233,0.015,.421,.383,0.038,.315,.301,0.014
Rengifo, Luis,650859,2019,406,268,.238,.229,0.009,.364,.359,0.005,.298,.301,-0.003
Dixon, Brandon,641525,2019,420,259,.248,.229,0.019,.435,.429,0.006,.303,.299,0.004
Grichuk, Randal,545341,2019,628,425,.232,.232,0.000,.457,.421,0.036,.307,.299,0.008
Hernandez, Cesar,514917,2019,667,516,.279,.259,0.020,.408,.368,0.040,.315,.298,0.017
Senzel, Nick,669222,2019,414,275,.256,.232,0.024,.427,.393,0.034,.311,.298,0.013
Newman, Kevin,621028,2019,531,434,.308,.266,0.042,.446,.365,0.081,.339,.297,0.042
Goodwin, Brian,571718,2019,458,288,.262,.225,0.037,.470,.396,0.074,.332,.297,0.035
Pillar, Kevin,607680,2019,645,529,.259,.258,0.001,.432,.407,0.025,.298,.296,0.002
Franco, Maikel,596748,2019,428,331,.234,.242,-0.008,.409,.416,-0.007,.281,.295,-0.014
Taylor, Chris,621035,2019,414,258,.262,.228,0.034,.462,.375,0.087,.331,.294,0.037
Cabrera, Melky,466320,2019,397,338,.280,.274,0.006,.399,.374,0.025,.301,.293,0.008
Alberto, Hanser,593643,2019,550,480,.305,.271,0.034,.422,.381,0.041,.318,.292,0.026
Kiermaier, Kevin,595281,2019,480,345,.228,.239,-0.011,.398,.392,0.006,.284,.292,-0.008
Ruiz, Rio,547004,2019,413,285,.232,.228,0.004,.376,.353,0.023,.294,.291,0.003
Crawford, J.P.,641487,2019,396,268,.226,.230,-0.004,.371,.331,0.040,.296,.291,0.005
Bauers, Jake,641343,2019,423,260,.226,.218,0.008,.371,.348,0.023,.296,.291,0.005
Wong, Kolten,543939,2019,549,406,.285,.235,0.050,.423,.343,0.080,.334,.290,0.044
Murphy, Daniel,502517,2019,478,368,.279,.248,0.031,.452,.367,0.085,.326,.290,0.036
Gardner, Brett,458731,2019,550,386,.251,.226,0.025,.503,.357,0.146,.344,.290,0.054
