last_name, first_name,player_id,team_id,team,position,age,competitive_runs,hp_to_1b,sprint_speed
Joyce, Matt,459964,133,OAK,RF,33,159,4.51,26.5
Chisenhall, Lonnie,502082,114,CLE,RF,29,102,4.44,26.5
Rodríguez, Sean,446481,134,PIT,3B,32,34,4.60,26.5
Davis, Khris,501981,133,OAK,LF,30,171,4.73,26.5
Trumbo, Mark,444432,110,BAL,DH,31,192,4.65,26.5
Urshela, Gio,570482,114,CLE,3B,26,76,4.40,26.5
Amarista, Alexi,506560,115,COL,,28,62,4.34,26.5
Tejada, Rubén,514913,110,BAL,SS,28,47,4.57,26.5
Pederson, Joc,592626,119,LAD,CF,25,115,4.37,26.5
Wolters, Tony,547172,115,COL,C,25,110,4.42,26.4
Álvarez, Pedro,476883,110,BAL,DH,30,12,,26.4
Jaso, John,444379,134,PIT,RF,34,87,4.53,26.4
Gómez, Miguel,622497,137,SF,,25,14,,26.4
Carter, Chris,474892,147,NYY,1B,31,38,4.71,26.4
Gennett, Scooter,571697,113,CIN,2B,27,162,4.40,26.4
Hedges, Austin,595978,135,SD,C,25,108,4.58,26.4
Smith, Seth,452234,110,BAL,RF,35,111,4.42,26.4
Parra, Gerardo,467827,115,COL,LF,30,173,4.32,26.4
Calhoun, Kole,594777,108,LAA,RF,30,230,4.52,26.4
Moss, Brandon,461235,118,KC,DH,34,87,4.47,26.4
Franklin, Nick,545338,108,LAA,,26,44,4.37,26.4
Zunino, Mike,572287,136,SEA,C,26,102,4.57,26.3
Jay, Jon,445055,112,CHC,CF,32,187,4.45,26.3
Flaherty, Ryan,475247,110,BAL,SS,31,17,4.41,26.3
Bruce, Jay,457803,114,CLE,RF,30,176,4.40,26.3
Coghlan, Chris,458085,141,TOR,3B,32,25,4.40,26.3
Kim, Hyun Soo,547957,143,PHI,LF,29,84,4.35,26.3
Blanco, Andr�s,433217,143,PHI,2B,33,49,4.57,26.3
Donaldson, Josh,518626,141,TOR,3B,32,142,4.48,26.3
García, Adonis,611177,144,ATL,3B,32,82,4.48,26.3
Phegley, Josh,572033,133,OAK,C,29,46,4.47,26.3
Asche, Cody,605125,145,CWS,DH,27,15,,26.3
Castro, Jason,488771,142,MIN,C,30,127,4.51,26.2
Murphy, Daniel,502517,120,WSH,2B,32,211,4.39,26.2
Taijeron, Travis,607369,121,NYM,RF,28,16,,26.2
Walker, Neil,435522,158,MIL,2B,32,146,4.46,26.2
Machado, Manny,592518,110,BAL,3B,25,226,4.63,26.2
Gordon, Alex,460086,118,KC,LF,33,163,4.50,26.2
Cabrera, Melky,466320,118,KC,LF,33,301,4.45,26.2
Telis, Tomás,542513,146,MIA,1B,26,56,4.50,26.2
Choo, Shin-Soo,425783,140,TEX,RF,35,200,4.44,26.2
La Stella, Tommy,600303,112,CHC,2B,28,49,4.42,26.2
Hoskins, Rhys,656555,143,PHI,LF,24,50,4.49,26.1
Decker, Jaff,543094,133,OAK,CF,27,16,,26.1
Voit, Luke,572228,138,STL,1B,26,42,4.62,26.1
Moore, Tyler,489138,146,MIA,1B,30,57,4.62,26.1
Pedroia, Dustin,456030,111,BOS,2B,34,191,4.42,26.1
Mauer, Joe,408045,142,MIN,1B,34,253,4.53,26.1
Hardy, J.J.,429666,110,BAL,SS,35,108,4.62,26.1
Ramirez, Hanley,434670,111,BOS,DH,34,193,4.62,26.1
Seager, Kyle,572122,136,SEA,3B,30,171,4.47,26.0
Sánchez, Gary,596142,147,NYY,C,25,176,4.51,26.0
Maile, Luke,571912,141,TOR,C,26,61,4.66,26.0
Santana, Carlos,467793,114,CLE,1B,31,231,4.49,26.0
Freese, David,501896,134,PIT,3B,34,190,4.43,26.0
Adams, Matt,571431,144,ATL,1B,29,105,4.53,26.0
Ruggiano, Justin,448605,137,SF,RF,35,14,,26.0
Franco, Maikel,596748,143,PHI,3B,25,227,4.76,26.0
Nava, Daniel,537953,143,PHI,LF,34,73,4.67,26.0
Brantley, Michael,488726,114,CLE,LF,30,149,4.56,26.0
Hundley, Nick,460026,137,SF,C,34,109,4.59,26.0
Panik, Joe,605412,137,SF,2B,27,242,4.45,26.0
Plawecki, Kevin,608700,121,NYM,C,26,46,4.55,25.9
Crawford, Brandon,543063,137,SF,SS,30,210,4.41,25.9
Peralta, Jhonny,425509,138,STL,3B,35,17,4.66,25.9
Stewart, Chris,455755,134,PIT,C,35,44,4.62,25.9
Iannetta, Chris,455104,109,ARI,C,34,88,4.66,25.9
Holliday, Matt,407812,147,NYY,DH,37,131,4.59,25.9
Cozart, Zack,446359,113,CIN,SS,32,176,4.45,25.9
Vázquez, Christian,543877,111,BOS,C,27,145,4.49,25.9
Centeno, Juan,518542,117,HOU,C,28,14,,25.9
Joseph, Caleb,543376,110,BAL,C,31,83,4.63,25.9
Ethier, Andre,444843,119,LAD,LF,35,16,4.42,25.9
Phillips, Brandon,408252,108,LAA,2B,36,262,4.59,25.9
Markakis, Nick,455976,144,ATL,RF,34,246,4.49,25.9
McMahon, Ryan,641857,115,COL,1B,23,13,,25.8
Prado, Martín,445988,146,MIA,3B,34,62,4.60,25.8
Cron, C.J.,543068,108,LAA,1B,27,88,4.64,25.8
Winker, Jesse,608385,113,CIN,RF,24,52,4.54,25.8
Mathis, Jeff,425772,109,ARI,C,34,67,4.61,25.8
Flowers, Tyler,452095,144,ATL,C,31,117,4.52,25.7
Rizzo, Anthony,519203,112,CHC,1B,28,234,4.58,25.7
Suzuki, Kurt,435559,144,ATL,C,34,84,4.66,25.7
Mesoraco, Devin,519023,113,CIN,C,29,54,4.51,25.7
Kelly, Carson,608348,138,STL,C,23,31,4.72,25.7
Piña, Manny,444489,158,MIL,C,30,98,4.63,25.7
Colón, Christian,518568,146,MIA,3B,28,28,4.63,25.7
Flores, Wilmer,527038,121,NYM,3B,26,124,4.56,25.7
Janish, Paul,457926,110,BAL,SS,35,10,,25.7
Shaw, Travis,543768,158,MIL,3B,27,174,4.52,25.6
Cuthbert, Cheslor,596144,118,KC,3B,25,51,4.66,25.6
Tulowitzki, Troy,453064,141,TOR,SS,33,103,4.56,25.6
Arenado, Nolan,571448,115,COL,3B,26,211,4.58,25.6
Moreland, Mitch,519048,111,BOS,1B,32,205,4.36,25.6
Duda, Lucas,446263,139,TB,1B,31,114,4.68,25.6
Werth, Jayson,150029,120,WSH,LF,38,85,4.60,25.6
Ruiz, Carlos,434563,136,SEA,C,38,45,4.58,25.6
Soto, Geovany,434567,145,CWS,C,34,10,,25.6
Vogt, Stephen,519390,158,MIL,C,33,101,4.55,25.5
Drew, Stephen,452220,120,WSH,SS,34,31,4.59,25.5
Holaday, Bryan,592407,116,DET,C,30,14,,25.5
Davidson, Matt,571602,145,CWS,DH,26,109,4.64,25.5
Bautista, José,430832,141,TOR,RF,37,189,4.75,25.5
Perez, Salvador,521692,118,KC,C,27,131,4.74,25.5
Martin, Russell,431145,141,TOR,C,34,116,4.72,25.5
Cruz, Nelson,443558,136,SEA,DH,37,185,4.70,25.5
Turner, Stuart,642156,113,CIN,C,26,26,4.79,25.5
Gillaspie, Conor,543216,137,SF,3B,30,40,4.59,25.5
Calhoun, Willie,641432,140,TEX,LF,23,13,4.70,25.4
Escobar, Yunel,488862,108,LAA,3B,35,183,4.67,25.4
Turner, Justin,457759,119,LAD,3B,33,187,4.68,25.3
Butera, Drew,460077,118,KC,C,34,50,4.65,25.3
Joseph, Tommy,571830,143,PHI,1B,26,165,4.86,25.3
Headley, Chase,452104,147,NYY,3B,33,203,4.69,25.3
Sandoval, Pablo,467055,137,SF,3B,31,97,4.52,25.3
Beltrán, Carlos,136860,117,HOU,DH,40,176,4.48,25.3
Caratini, Victor,605170,112,CHC,C,24,32,4.63,25.3
Smith, Dominic,642086,121,NYM,1B,22,49,4.58,25.3
Narváez, Omar,553882,145,CWS,C,25,102,4.69,25.3
Barnhart, Tucker,571466,113,CIN,C,26,147,4.60,25.2
Cervelli, Francisco,465041,134,PIT,C,31,108,4.63,25.2
Segedin, Rob,574847,119,LAD,1B,29,10,,25.2
Napoli, Mike,435063,140,TEX,1B,36,97,4.77,25.2
Cabrera, Asdrúbal,452678,121,NYM,SS,32,181,4.66,25.2
Lucroy, Jonathan,518960,115,COL,C,31,213,4.69,25.1
Gyorko, Jedd,576397,138,STL,3B,29,155,4.57,25.1
Vargas, Kennys,573627,142,MIN,DH,27,94,4.70,25.1
Davis, Chris,448801,110,BAL,1B,31,103,4.67,25.1
Avila, Alex,488671,112,CHC,C,30,84,4.75,25.0
Navarro, Efren,519068,116,DET,1B,31,24,,25.0
Bird, Greg,595885,147,NYY,1B,25,50,4.67,25.0
Gimenez, Chris,460269,142,MIN,C,35,58,4.75,24.9
