last_name, first_name,player_id,year,pa,bip,ba,est_ba,est_ba_minus_ba_diff,slg,est_slg,est_slg_minus_slg_diff,woba,est_woba,est_woba_minus_woba_diff
Ramos, Wilson,467092,2020,155,112,.239,.247,-0.008,.387,.419,-0.032,.297,.316,-0.019
Martinez, J.D.,502110,2020,237,154,.213,.229,-0.016,.389,.444,-0.055,.290,.316,-0.026
Crawford, J.P.,641487,2020,232,167,.255,.254,0.001,.338,.357,-0.019,.303,.315,-0.012
DeJong, Paul,657557,2020,174,106,.250,.238,0.012,.349,.406,-0.057,.296,.315,-0.019
Gurriel, Yuli,493329,2020,230,189,.232,.262,-0.030,.384,.404,-0.020,.281,.315,-0.034
Hiura, Keston,669374,2020,246,134,.212,.209,0.003,.410,.433,-0.023,.304,.315,-0.011
Barnhart, Tucker,571466,2020,110,70,.204,.226,-0.022,.388,.408,-0.020,.296,.315,-0.019
Brosseau, Mike,670712,2020,98,56,.302,.223,0.079,.558,.415,0.143,.394,.314,0.080
Núñez, Renato,600524,2020,216,132,.256,.227,0.029,.492,.431,0.061,.347,.314,0.033
Biggio, Cavan,624415,2020,265,159,.250,.214,0.036,.432,.343,0.089,.354,.314,0.040
Gonzalez, Marwin,503556,2020,199,138,.211,.240,-0.029,.320,.401,-0.081,.269,.314,-0.045
Carlson, Dylan,666185,2020,119,76,.200,.246,-0.046,.364,.441,-0.077,.264,.314,-0.050
Edman, Tommy,669242,2020,227,158,.250,.265,-0.015,.368,.366,0.002,.302,.313,-0.011
Akiyama, Shogo,673451,2020,183,121,.245,.243,0.002,.297,.324,-0.027,.302,.313,-0.011
Gallo, Joey,608336,2020,226,114,.181,.191,-0.010,.378,.416,-0.038,.297,.313,-0.016
Flores, Wilmer,527038,2020,213,163,.268,.249,0.019,.515,.434,0.081,.347,.312,0.035
Correa, Carlos,621043,2020,221,153,.264,.253,0.011,.383,.399,-0.016,.308,.312,-0.004
Reynolds, Bryan,668804,2020,208,128,.189,.228,-0.039,.357,.403,-0.046,.276,.312,-0.036
