last_name, first_name,player_id,year,pa,bip,ba,est_ba,est_ba_minus_ba_diff,slg,est_slg,est_slg_minus_slg_diff,woba,est_woba,est_woba_minus_woba_diff
Wieters, Matt,446308,2016,464,342,.243,.251,-0.008,.409,.438,-0.029,.307,.316,-0.009
Soler, Jorge,624585,2016,264,164,.238,.214,0.024,.436,.417,0.019,.333,.316,0.017
Conforto, Michael,624424,2016,348,218,.220,.224,-0.004,.414,.417,-0.003,.312,.316,-0.004
Beltrán, Carlos,136860,2016,593,455,.295,.268,0.027,.513,.450,0.063,.358,.315,0.043
Freese, David,501896,2016,492,295,.270,.238,0.032,.412,.398,0.014,.334,.315,0.019
Cervelli, Francisco,465041,2016,393,259,.264,.236,0.028,.322,.327,-0.005,.318,.315,0.003
Saunders, Michael,459431,2016,558,337,.253,.231,0.022,.478,.407,0.071,.348,.315,0.033
Grichuk, Randal,545341,2016,478,306,.240,.235,0.005,.480,.481,-0.001,.325,.315,0.010
Desmond, Ian,435622,2016,677,468,.285,.254,0.031,.446,.426,0.020,.336,.314,0.022
Eaton, Adam,594809,2016,706,514,.284,.254,0.030,.428,.387,0.041,.344,.314,0.030
Valbuena, Luis,472528,2016,342,216,.260,.225,0.035,.459,.413,0.046,.351,.314,0.037
Peralta, Jhonny,425509,2016,313,236,.260,.255,0.005,.408,.449,-0.041,.308,.314,-0.006
Andrus, Elvis,462101,2016,568,447,.302,.271,0.031,.439,.383,0.056,.344,.313,0.031
Descalso, Daniel,518614,2016,289,198,.264,.259,0.005,.424,.397,0.027,.332,.313,0.019
Adams, Matt,571431,2016,327,219,.249,.235,0.014,.471,.479,-0.008,.331,.313,0.018
Miller, Brad,543543,2016,601,402,.243,.234,0.009,.482,.440,0.042,.333,.313,0.020
Castro, Jason,488771,2016,376,207,.210,.217,-0.007,.377,.404,-0.027,.301,.313,-0.012
Cain, Lorenzo,456715,2016,434,317,.287,.267,0.020,.408,.397,0.011,.322,.311,0.011
García, Adonis,611177,2016,563,439,.273,.272,0.001,.406,.420,-0.014,.308,.311,-0.003
Franco, Maikel,596748,2016,630,479,.255,.256,-0.001,.427,.443,-0.016,.311,.311,0.000
Alonso, Yonder,475174,2016,532,412,.253,.254,-0.001,.367,.393,-0.026,.299,.311,-0.012
Marte, Jefry,527043,2016,284,202,.252,.244,0.008,.481,.445,0.036,.335,.311,0.024
Frazier, Todd,453943,2016,666,435,.225,.220,0.005,.464,.446,0.018,.326,.311,0.015
Cabrera, Asdrúbal,452678,2016,568,420,.280,.251,0.029,.474,.437,0.037,.345,.310,0.035
De Aza, Alejandro,457477,2016,267,169,.205,.241,-0.036,.321,.381,-0.060,.276,.309,-0.033
Pagán, Ángel,434636,2016,543,432,.277,.274,0.003,.418,.381,0.037,.322,.308,0.014
Span, Denard,452655,2016,637,501,.266,.266,0.000,.381,.375,0.006,.312,.308,0.004
Fielder, Prince,425902,2016,370,268,.212,.238,-0.026,.334,.378,-0.044,.276,.308,-0.032
Johnson, Kelly,430637,2016,333,241,.247,.251,-0.004,.391,.392,-0.001,.301,.307,-0.006
Zimmerman, Ryan,475582,2016,467,329,.218,.238,-0.020,.370,.410,-0.040,.277,.307,-0.030
Iannetta, Chris,455104,2016,338,215,.210,.226,-0.016,.329,.373,-0.044,.282,.307,-0.025
Gardner, Brett,458731,2016,634,450,.261,.249,0.012,.362,.348,0.014,.317,.306,0.011
Utley, Chase,400284,2016,565,399,.252,.253,-0.001,.396,.394,0.002,.312,.306,0.006
Vogt, Stephen,519390,2016,532,410,.251,.253,-0.002,.406,.405,0.001,.305,.306,-0.001
Russell, Addison,608365,2016,598,396,.238,.227,0.011,.417,.421,-0.004,.316,.306,0.010
Cabrera, Melky,466320,2016,646,530,.296,.271,0.025,.455,.390,0.065,.342,.305,0.037
Odor, Rougned,596059,2016,632,474,.271,.245,0.026,.502,.457,0.045,.336,.305,0.031
Headley, Chase,452104,2016,529,354,.253,.241,0.012,.385,.390,-0.005,.312,.305,0.007
Smolinski, Jake,519295,2016,319,249,.238,.257,-0.019,.345,.401,-0.056,.284,.305,-0.021
Maybin, Cameron,457727,2016,391,283,.315,.256,0.059,.418,.348,0.070,.352,.304,0.048
Escobar, Yunel,488862,2016,567,457,.304,.268,0.036,.391,.369,0.022,.327,.304,0.023
Crawford, Brandon,543063,2016,623,447,.275,.239,0.036,.430,.391,0.039,.327,.304,0.023
Hill, Aaron,431094,2016,429,323,.262,.259,0.003,.378,.381,-0.003,.310,.304,0.006
Rupp, Cameron,519237,2016,419,276,.252,.232,0.020,.447,.430,0.017,.321,.304,0.017
Nieuwenhuis, Kirk,543590,2016,392,202,.209,.195,0.014,.385,.374,0.011,.313,.304,0.009
Prado, Martín,445988,2016,658,536,.305,.279,0.026,.417,.374,0.043,.335,.303,0.032
Drury, Brandon,592273,2016,499,365,.282,.252,0.030,.458,.416,0.042,.335,.303,0.032
Schebler, Scott,594988,2016,282,198,.265,.245,0.020,.432,.386,0.046,.328,.303,0.025
Dickerson, Corey,572816,2016,548,378,.245,.231,0.014,.469,.446,0.023,.318,.303,0.015
Teixeira, Mark,407893,2016,438,284,.204,.218,-0.014,.362,.399,-0.037,.287,.303,-0.016
Bogaerts, Xander,593428,2016,719,532,.294,.247,0.047,.446,.403,0.043,.348,.302,0.046
Flores, Wilmer,527038,2016,335,262,.267,.251,0.016,.469,.428,0.041,.336,.302,0.034
Puig, Yasiel,624577,2016,368,263,.263,.240,0.023,.416,.389,0.027,.320,.302,0.018
Suárez, Eugenio,553993,2016,627,413,.248,.233,0.015,.411,.396,0.015,.316,.302,0.014
Orlando, Paulo,449181,2016,484,358,.302,.270,0.032,.405,.401,0.004,.316,.301,0.015
Ellsbury, Jacoby,453056,2016,626,474,.263,.260,0.003,.374,.352,0.022,.302,.301,0.001
Duffy, Matt,622110,2016,366,286,.258,.257,0.001,.357,.382,-0.025,.292,.301,-0.009
Johnson, Chris,453400,2016,264,166,.222,.256,-0.034,.329,.403,-0.074,.267,.301,-0.034
Polanco, Jorge,593871,2016,270,204,.282,.266,0.016,.424,.364,0.060,.326,.300,0.026
Shaw, Travis,543768,2016,530,351,.242,.227,0.015,.421,.413,0.008,.310,.300,0.010
Rosales, Adam,489267,2016,248,130,.229,.207,0.022,.495,.428,0.067,.340,.300,0.040
Rasmus, Colby,458675,2016,417,253,.206,.214,-0.008,.355,.403,-0.048,.282,.300,-0.018
Maldonado, Martín,455117,2016,253,156,.202,.208,-0.006,.351,.383,-0.032,.294,.300,-0.006
Realmuto, J.T.,592663,2016,545,412,.303,.263,0.040,.428,.393,0.035,.333,.299,0.034
Loney, James,425766,2016,366,308,.265,.268,-0.003,.397,.382,0.015,.302,.299,0.003
Holt, Brock,571788,2016,324,236,.255,.251,0.004,.383,.348,0.035,.308,.299,0.009
Hernandez, Cesar,514917,2016,622,438,.294,.253,0.041,.393,.332,0.061,.335,.298,0.037
Villar, Jonathan,542340,2016,679,424,.285,.225,0.060,.457,.353,0.104,.356,.298,0.058
Souza Jr., Steven,519306,2016,468,273,.247,.222,0.025,.409,.407,0.002,.308,.298,0.010
Kiermaier, Kevin,595281,2016,414,293,.246,.233,0.013,.410,.352,0.058,.323,.298,0.025
Panik, Joe,605412,2016,526,425,.239,.239,0.000,.379,.368,0.011,.300,.298,0.002
Reynolds, Mark,448602,2016,441,283,.282,.229,0.053,.450,.404,0.046,.349,.297,0.052
Castro, Starlin,516770,2016,610,465,.270,.253,0.017,.433,.407,0.026,.313,.297,0.016
Reyes, José,408314,2016,279,207,.267,.249,0.018,.443,.388,0.055,.329,.297,0.032
Wallace, Brett,477165,2016,256,135,.189,.203,-0.014,.318,.355,-0.037,.280,.297,-0.017
Hardy, J.J.,429666,2016,438,344,.269,.252,0.017,.407,.397,0.010,.307,.295,0.012
Hundley, Nick,460026,2016,317,226,.260,.244,0.016,.439,.403,0.036,.323,.294,0.029
Semien, Marcus,543760,2016,621,431,.238,.220,0.018,.435,.416,0.019,.315,.294,0.021
Barnhart, Tucker,571466,2016,420,310,.257,.256,0.001,.379,.371,0.008,.300,.293,0.007
Heyward, Jason,518792,2016,592,440,.230,.242,-0.012,.325,.341,-0.016,.282,.293,-0.011
Suzuki, Ichiro,400085,2016,365,290,.291,.258,0.033,.376,.324,0.052,.320,.292,0.028
Simmons, Andrelton,592743,2016,483,415,.281,.266,0.015,.366,.352,0.014,.302,.292,0.010
Wong, Kolten,543939,2016,361,266,.240,.232,0.008,.355,.326,0.029,.300,.291,0.009
Solarte, Yangervis,500208,2016,443,345,.286,.242,0.044,.467,.393,0.074,.346,.290,0.056
Castillo, Welington,456078,2016,457,299,.264,.228,0.036,.423,.385,0.038,.319,.290,0.029
Upton, B.J.,425834,2016,539,344,.238,.229,0.009,.402,.398,0.004,.297,.290,0.007
León, Sandy,506702,2016,283,192,.310,.231,0.079,.476,.362,0.114,.362,.289,0.073
Travis, Devon,581527,2016,432,325,.300,.254,0.046,.454,.390,0.064,.337,.289,0.048
Kepler, Max,596146,2016,447,309,.235,.235,0.000,.424,.355,0.069,.313,.289,0.024
Beckham, Gordon,493596,2016,279,197,.212,.221,-0.009,.347,.346,0.001,.281,.289,-0.008
Núñez, Eduardo,456488,2016,595,473,.288,.245,0.043,.432,.389,0.043,.324,.288,0.036
Perez, Salvador,521692,2016,546,397,.247,.241,0.006,.438,.423,0.015,.308,.288,0.020
Crisp, Coco,424825,2016,498,374,.231,.238,-0.007,.397,.356,0.041,.301,.288,0.013
McCann, James,543510,2016,373,239,.221,.216,0.005,.358,.403,-0.045,.273,.288,-0.015
Chisenhall, Lonnie,502082,2016,418,322,.286,.252,0.034,.439,.387,0.052,.327,.287,0.040
Schoop, Jonathan,570731,2016,647,481,.267,.243,0.024,.454,.407,0.047,.320,.287,0.033
Rua, Ryan,607387,2016,269,166,.258,.226,0.032,.400,.362,0.038,.317,.287,0.030
De Jesús Jr., Iván,474443,2016,243,173,.253,.253,0.000,.312,.335,-0.023,.277,.286,-0.009
Saltalamacchia, Jarrod,457454,2016,292,147,.171,.169,0.002,.346,.357,-0.011,.277,.286,-0.009
Merrifield, Whit,593160,2016,332,241,.283,.245,0.038,.392,.367,0.025,.309,.285,0.024
Rodriguez, Alex,121347,2016,243,161,.200,.215,-0.015,.351,.394,-0.043,.258,.285,-0.027
Hernández, Enrique,571771,2016,244,152,.190,.208,-0.018,.324,.361,-0.037,.270,.285,-0.015
Jay, Jon,445055,2016,374,271,.291,.253,0.038,.389,.338,0.051,.318,.284,0.034
Herrera, Odúbel,546318,2016,656,453,.286,.225,0.061,.420,.347,0.073,.338,.284,0.054
Owings, Chris,572008,2016,466,354,.277,.251,0.026,.416,.370,0.046,.311,.284,0.027
Lawrie, Brett,543434,2016,384,243,.248,.225,0.023,.413,.376,0.037,.311,.284,0.027
Pillar, Kevin,607680,2016,584,464,.266,.254,0.012,.376,.371,0.005,.295,.283,0.012
Mercer, Jordy,474568,2016,584,445,.256,.237,0.019,.374,.345,0.029,.304,.283,0.021
Profar, Jurickson,595777,2016,307,213,.239,.228,0.011,.338,.314,0.024,.295,.283,0.012
Phillips, Brandon,408252,2016,584,490,.291,.259,0.032,.416,.386,0.030,.315,.282,0.033
Cozart, Zack,446359,2016,508,385,.252,.236,0.016,.425,.364,0.061,.312,.282,0.030
Hicks, Aaron,543305,2016,361,263,.217,.225,-0.008,.336,.352,-0.016,.270,.282,-0.012
Giavotella, Johnny,543213,2016,367,314,.260,.265,-0.005,.376,.347,0.029,.285,.281,0.004
Suzuki, Kurt,435559,2016,373,302,.258,.240,0.018,.403,.364,0.039,.303,.280,0.023
White, Tyler,643603,2016,276,186,.217,.212,0.005,.378,.361,0.017,.287,.280,0.007
Inciarte, Ender,542255,2016,578,461,.291,.251,0.040,.381,.317,0.064,.319,.279,0.040
Hechavarría, Adeiny,588751,2016,547,440,.236,.256,-0.020,.311,.340,-0.029,.256,.279,-0.023
Escobar, Eduardo,500871,2016,377,283,.236,.242,-0.006,.338,.365,-0.027,.269,.279,-0.010
Pérez, Hernán,541650,2016,430,317,.272,.246,0.026,.428,.379,0.049,.312,.278,0.034
d'Arnaud, Travis,518595,2016,276,204,.247,.236,0.011,.323,.344,-0.021,.279,.278,0.001
Anderson, Tim,641313,2016,431,300,.283,.244,0.039,.432,.374,0.058,.315,.277,0.038
Francoeur, Jeff,425796,2016,331,221,.254,.233,0.021,.378,.367,0.011,.290,.277,0.013
Davis, Rajai,434658,2016,495,351,.249,.232,0.017,.388,.356,0.032,.302,.277,0.025
Norris, Derek,519083,2016,458,279,.186,.223,-0.037,.328,.357,-0.029,.252,.277,-0.025
Barney, Darwin,446381,2016,306,235,.269,.238,0.031,.373,.331,0.042,.303,.274,0.029
Jankowski, Travis,608671,2016,383,238,.245,.225,0.020,.313,.282,0.031,.292,.274,0.018
