last_name, first_name,player_id,year,pa,bip,ba,est_ba,est_ba_minus_ba_diff,slg,est_slg,est_slg_minus_slg_diff,woba,est_woba,est_woba_minus_woba_diff
Betts, Mookie,605141,2018,614,434,.346,.307,0.039,.640,.603,0.037,.449,.428,0.021
Trout, Mike,545361,2018,608,351,.312,.289,0.023,.628,.589,0.039,.446,.428,0.018
Martinez, J.D.,502110,2018,649,430,.330,.303,0.027,.629,.607,0.022,.427,.412,0.015
Yelich, Christian,592885,2018,651,441,.326,.313,0.013,.598,.564,0.034,.422,.411,0.011
Judge, Aaron,592450,2018,498,266,.278,.272,0.006,.528,.527,0.001,.391,.394,-0.003
Cruz, Nelson,443558,2018,591,400,.256,.280,-0.024,.509,.565,-0.056,.361,.393,-0.032
Votto, Joey,458015,2018,623,405,.284,.283,0.001,.419,.469,-0.050,.370,.390,-0.020
Pearce, Steve,456665,2018,251,176,.284,.280,0.004,.512,.523,-0.011,.382,.390,-0.008
Muncy, Max,571970,2018,481,266,.263,.253,0.010,.582,.530,0.052,.407,.390,0.017
Harper, Bryce,547180,2018,695,390,.249,.261,-0.012,.496,.515,-0.019,.376,.390,-0.014
Carpenter, Matt,572761,2018,677,410,.257,.263,-0.006,.523,.536,-0.013,.375,.387,-0.012
Freeman, Freddie,518692,2018,707,492,.309,.295,0.014,.505,.529,-0.024,.378,.385,-0.007
Turner, Justin,457759,2018,426,313,.312,.292,0.020,.518,.486,0.032,.396,.382,0.014
Goldschmidt, Paul,502671,2018,690,420,.290,.269,0.021,.533,.529,0.004,.389,.381,0.008
Pham, Tommy,502054,2018,570,357,.275,.285,-0.010,.464,.501,-0.037,.359,.379,-0.020
Rendon, Anthony,543685,2018,597,455,.308,.295,0.013,.535,.523,0.012,.383,.376,0.007
Martínez, José,500874,2018,590,435,.305,.299,0.006,.457,.509,-0.052,.356,.375,-0.019
Canó, Robinson,429664,2018,348,265,.303,.303,0.000,.471,.493,-0.022,.364,.374,-0.010
Acuña Jr., Ronald,660670,2018,487,313,.293,.272,0.021,.552,.534,0.018,.388,.374,0.014
Ohtani, Shohei,660271,2018,367,225,.285,.267,0.018,.564,.528,0.036,.389,.374,0.015
Castellanos, Nick,592206,2018,678,472,.298,.295,0.003,.500,.524,-0.024,.363,.373,-0.010
Suárez, Eugenio,553993,2018,606,391,.283,.275,0.008,.526,.514,0.012,.376,.373,0.003
Morales, Kendrys,434778,2018,471,323,.249,.268,-0.019,.438,.517,-0.079,.329,.373,-0.044
Davis, Khris,501981,2018,654,408,.247,.245,0.002,.549,.561,-0.012,.365,.373,-0.008
Bregman, Alex,608324,2018,705,512,.286,.269,0.017,.532,.464,0.068,.396,.370,0.026
Gallo, Joey,608336,2018,577,293,.206,.230,-0.024,.498,.544,-0.046,.343,.370,-0.027
Machado, Manny,592518,2018,709,533,.297,.285,0.012,.538,.514,0.024,.377,.369,0.008
Hicks, Aaron,543305,2018,581,377,.248,.258,-0.010,.467,.459,0.008,.360,.369,-0.009
Lindor, Francisco,596019,2018,745,560,.277,.283,-0.006,.519,.502,0.017,.368,.368,0.000
Zimmerman, Ryan,475582,2018,323,235,.264,.265,-0.001,.486,.504,-0.018,.351,.368,-0.017
Haniger, Mitch,571745,2018,683,455,.285,.274,0.011,.493,.490,0.003,.367,.366,0.001
Braun, Ryan,460075,2018,447,323,.254,.289,-0.035,.469,.511,-0.042,.328,.364,-0.036
Winker, Jesse,608385,2018,334,237,.299,.272,0.027,.431,.448,-0.017,.366,.363,0.003
Soto, Juan,665742,2018,494,316,.292,.255,0.037,.517,.467,0.050,.392,.363,0.029
Pinder, Chad,640461,2018,333,212,.258,.266,-0.008,.436,.504,-0.068,.333,.362,-0.029
Bogaerts, Xander,593428,2018,580,417,.288,.276,0.012,.522,.490,0.032,.373,.361,0.012
Rizzo, Anthony,519203,2018,665,495,.283,.285,-0.002,.470,.463,0.007,.359,.361,-0.002
Choo, Shin-Soo,425783,2018,665,407,.264,.248,0.016,.434,.462,-0.028,.355,.360,-0.005
McCutchen, Andrew,457705,2018,682,431,.255,.257,-0.002,.424,.441,-0.017,.347,.359,-0.012
Ramírez, José,608070,2018,698,504,.270,.252,0.018,.552,.457,0.095,.391,.357,0.034
Freese, David,501896,2018,312,211,.296,.279,0.017,.471,.474,-0.003,.357,.356,0.001
Ozuna, Marcell,542303,2018,628,476,.280,.282,-0.002,.433,.494,-0.061,.326,.355,-0.029
Olson, Matt,621566,2018,660,419,.247,.249,-0.002,.453,.490,-0.037,.340,.355,-0.015
Piscotty, Stephen,572039,2018,605,437,.267,.266,0.001,.491,.488,0.003,.351,.353,-0.002
Story, Trevor,596115,2018,656,434,.291,.262,0.029,.567,.505,0.062,.384,.352,0.032
Upton, Justin,457708,2018,613,363,.257,.247,0.010,.463,.462,0.001,.348,.351,-0.003
Martin, Leonys,547982,2018,353,243,.255,.263,-0.008,.425,.478,-0.053,.323,.351,-0.028
Encarnación, Edwin,429665,2018,579,375,.246,.240,0.006,.474,.469,0.005,.346,.351,-0.005
Brantley, Michael,488726,2018,631,517,.309,.298,0.011,.468,.441,0.027,.358,.349,0.009
Aguilar, Jesús,542583,2018,566,359,.274,.249,0.025,.539,.474,0.065,.374,.349,0.025
Abreu, José,547989,2018,553,396,.265,.272,-0.007,.473,.481,-0.008,.337,.349,-0.012
Moreland, Mitch,519048,2018,459,307,.245,.247,-0.002,.433,.474,-0.041,.325,.349,-0.024
Shaw, Travis,543768,2018,587,397,.241,.242,-0.001,.480,.461,0.019,.351,.349,0.002
Arenado, Nolan,571448,2018,673,475,.297,.265,0.032,.561,.476,0.085,.391,.348,0.043
Realmuto, J.T.,592663,2018,531,377,.277,.268,0.009,.484,.469,0.015,.352,.348,0.004
Nimmo, Brandon,607043,2018,535,293,.263,.235,0.028,.483,.390,0.093,.385,.348,0.037
Peralta, David,444482,2018,614,438,.293,.278,0.015,.516,.478,0.038,.368,.347,0.021
Kemp, Matt,461314,2018,506,354,.290,.264,0.026,.481,.501,-0.020,.348,.347,0.001
Puig, Yasiel,624577,2018,444,320,.267,.272,-0.005,.494,.475,0.019,.349,.347,0.002
Belt, Brandon,474832,2018,456,294,.253,.250,0.003,.414,.472,-0.058,.327,.347,-0.020
Schwarber, Kyle,656941,2018,510,291,.238,.243,-0.005,.467,.468,-0.001,.343,.347,-0.004
Altuve, Jose,514888,2018,599,459,.316,.283,0.033,.451,.439,0.012,.363,.346,0.017
Soler, Jorge,624585,2018,257,156,.265,.239,0.026,.466,.449,0.017,.354,.346,0.008
Hoskins, Rhys,656555,2018,660,413,.246,.227,0.019,.496,.448,0.048,.363,.346,0.017
Benintendi, Andrew,643217,2018,661,482,.290,.273,0.017,.465,.436,0.029,.357,.345,0.012
Mauer, Joe,408045,2018,543,404,.282,.286,-0.004,.379,.435,-0.056,.319,.345,-0.026
Springer, George,543807,2018,620,425,.265,.252,0.013,.434,.457,-0.023,.338,.345,-0.007
Schebler, Scott,594988,2018,430,283,.255,.257,-0.002,.439,.449,-0.010,.337,.345,-0.008
Díaz, Elias,553869,2018,277,215,.286,.286,0.000,.452,.444,0.008,.340,.344,-0.004
Stanton, Giancarlo,519317,2018,705,416,.266,.242,0.024,.509,.477,0.032,.360,.344,0.016
Bradley Jr., Jackie,598265,2018,535,341,.234,.258,-0.024,.403,.460,-0.057,.310,.344,-0.034
Markakis, Nick,455976,2018,705,552,.297,.291,0.006,.440,.422,0.018,.345,.343,0.002
Blackmon, Charlie,453568,2018,696,495,.291,.274,0.017,.502,.445,0.057,.368,.343,0.025
Santana, Carlos,467793,2018,679,475,.229,.241,-0.012,.414,.413,0.001,.333,.343,-0.010
Valencia, Danny,502143,2018,282,207,.263,.279,-0.016,.408,.455,-0.047,.310,.342,-0.032
Sánchez, Gary,596142,2018,374,231,.186,.219,-0.033,.406,.466,-0.060,.304,.342,-0.038
Murphy, Daniel,502517,2018,351,291,.299,.301,-0.002,.454,.451,0.003,.338,.341,-0.003
Williams, Nick,608384,2018,448,296,.256,.269,-0.013,.425,.448,-0.023,.324,.341,-0.017
Cain, Lorenzo,456715,2018,620,447,.308,.279,0.029,.417,.386,0.031,.359,.340,0.019
Hernández, Teoscar,606192,2018,523,316,.239,.233,0.006,.468,.497,-0.029,.328,.340,-0.012
Merrifield, Whit,593160,2018,707,526,.304,.277,0.027,.438,.422,0.016,.349,.339,0.010
Bryant, Kris,592178,2018,457,285,.272,.242,0.030,.460,.424,0.036,.359,.339,0.020
Cave, Jake,595909,2018,309,186,.265,.255,0.010,.473,.479,-0.006,.332,.339,-0.007
Cervelli, Francisco,465041,2018,404,254,.259,.230,0.029,.431,.399,0.032,.355,.339,0.016
Cron, C.J.,543068,2018,560,361,.253,.244,0.009,.493,.475,0.018,.347,.339,0.008
Myers, Wil,571976,2018,343,219,.253,.273,-0.020,.446,.450,-0.004,.328,.339,-0.011
Conforto, Michael,624424,2018,638,388,.243,.241,0.002,.448,.424,0.024,.342,.339,0.003
Granderson, Curtis,434158,2018,403,239,.242,.245,-0.003,.431,.409,0.022,.341,.338,0.003
Bell, Josh,605137,2018,583,402,.261,.252,0.009,.411,.411,0.000,.336,.337,-0.001
Polanco, Gregory,570256,2018,535,351,.254,.242,0.012,.499,.441,0.058,.351,.337,0.014
Smoak, Justin,475253,2018,594,352,.242,.223,0.019,.457,.433,0.024,.349,.337,0.012
Bruce, Jay,457803,2018,361,245,.223,.249,-0.026,.370,.440,-0.070,.296,.337,-0.041
Posey, Buster,457763,2018,448,347,.284,.273,0.011,.382,.414,-0.032,.326,.335,-0.009
Chapman, Matt,656305,2018,616,403,.278,.253,0.025,.508,.428,0.080,.369,.335,0.034
Canha, Mark,592192,2018,411,279,.249,.248,0.001,.449,.443,0.006,.334,.335,-0.001
Morrison, Logan,489149,2018,359,239,.186,.231,-0.045,.368,.454,-0.086,.283,.335,-0.052
Torres, Gleyber,650402,2018,484,315,.271,.252,0.019,.480,.452,0.028,.349,.334,0.015
Moustakas, Mike,519058,2018,635,476,.251,.254,-0.003,.459,.458,0.001,.329,.334,-0.005
Bautista, José,430832,2018,399,215,.203,.216,-0.013,.378,.381,-0.003,.324,.334,-0.010
